month,plant,hazard_level,hazard_name,hazard_label,indicator,control_item,content,permit_count,check_count,pass_count,defect_count,critical_defect_count,open_defect_count,overdue_defect_count,pass_rate,risk_score,risk_level
2024-01,桃園,A,A級,高危害,廠區,基本資料,工廠、日期、時間,23,20,20,0,0,0,0,1.0,0,低
2024-01,桃園,A,A級,高危害,許可證,許可資訊,工程作業分級、申請時間、核准工作時間、工作許可證編號,23,21,20,1,0,0,0,0.9524,2,低
2024-01,桃園,A,A級,高危害,施工地點,場地關係人,施工部門、轄區部門、監造部門,23,21,20,1,0,0,0,0.9524,2,低
2024-01,桃園,A,A級,高危害,包商,承攬商與人員資格,承攬商、工作人數、車輛車號、工地負責人、安衛人員、特殊作業主管,23,20,19,1,0,0,0,0.95,2,低
2024-01,桃園,A,A級,高危害,危害等級,作業等級,施工地點、工程案號、工作內容、許可工作項目、作業分級,23,20,19,1,0,0,0,0.95,2,低
2024-01,桃園,A,A級,高危害,危害等級,管線設備危害物,可燃性氣體、易燃液體、有害性氣體、化學藥劑、酸鹼、熱水蒸氣、空氣、其他,23,23,22,1,0,0,0,0.9565,2,低
2024-01,桃園,A,A級,高危害,檢點與危害告知,簽發前安全檢點,是否安全檢點,23,19,18,1,0,0,0,0.9474,2,低
2024-01,桃園,A,A級,高危害,檢點與危害告知,危害告知,是否危害告知,23,21,20,1,0,0,0,0.9524,2,低
2024-01,桃園,A,A級,高危害,危害排除與隔離,環境危害排除,是否設備管線危害物排除,23,19,18,1,0,0,0,0.9474,2,低
2024-01,桃園,A,A級,高危害,危害排除與隔離,隔離管制,設備管線是否加盲加鎖掛牌,23,21,20,1,0,0,0,0.9524,2,低
2024-01,桃園,A,A級,高危害,環境測定,氣體偵測數值,可燃性氣體%、氧氣%、一氧化碳PPM、硫化氫PPM,23,23,21,2,1,1,0,0.913,16,中
2024-01,桃園,A,A級,高危害,環境測定,測定基準,可燃性氣體 < 20%LEL；氧氣>= 18%；一氧化碳<50 PPM；硫化氫<10 PPM,23,21,20,1,0,0,0,0.9524,2,低
2024-01,桃園,A,A級,高危害,環境測定,測定頻率,上、下午施工前測定；A級或高風險作業需重複或連續測定；每小時/每兩小時紀錄表,23,21,20,1,0,0,0,0.9524,2,低
2024-01,桃園,A,A級,高危害,防火防爆,消防設備,是否有消防設備,23,19,18,1,0,0,0,0.9474,2,低
2024-01,桃園,A,A級,高危害,防火防爆,防爆安全工具,是否使用防爆電氣設備及安全工具,23,23,22,1,0,0,0,0.9565,2,低
2024-01,桃園,A,A級,高危害,高處作業,防墜措施,設標準施工架、安全網、安全母索、安全帶,23,19,18,1,0,0,0,0.9474,2,低
2024-01,桃園,A,A級,高危害,安全保護,個人防護具,是否有防護口罩、防毒面具、SCBA、防護手套、安全眼鏡、耳塞,23,20,19,1,0,0,0,0.95,2,低
2024-01,桃園,A,A級,高危害,警戒巡查,警戒標示,是否有警戒標示,23,22,21,1,0,0,0,0.9545,2,低
2024-01,桃園,A,A級,高危害,警戒巡查,巡查會簽,是否轄區、監造、安衛人員或工地負責人巡查會簽,23,20,19,1,0,0,0,0.95,2,低
2024-01,桃園,A,A級,高危害,收工回簽,回簽收工確認,是否回簽時確認環境已整理並完成防護措施,23,21,20,1,0,0,0,0.9524,2,低
2024-01,桃園,A,A級,高危害,收工回簽,一般安全規定,是否遵守工安規定,23,21,20,1,0,0,0,0.9524,2,低
2024-01,桃園,A,A級,高危害,收工回簽,現場紀錄,是否拍照,23,21,20,1,0,0,0,0.9524,2,低
2024-01,桃園,B,B級,中危害,廠區,基本資料,工廠、日期、時間,53,50,49,1,0,0,0,0.98,2,低
2024-01,桃園,B,B級,中危害,許可證,許可資訊,工程作業分級、申請時間、核准工作時間、工作許可證編號,53,47,46,1,0,0,0,0.9787,2,低
2024-01,桃園,B,B級,中危害,施工地點,場地關係人,施工部門、轄區部門、監造部門,53,48,47,1,0,0,0,0.9792,2,低
2024-01,桃園,B,B級,中危害,包商,承攬商與人員資格,承攬商、工作人數、車輛車號、工地負責人、安衛人員、特殊作業主管,53,47,45,2,0,0,0,0.9574,4,低
2024-01,桃園,B,B級,中危害,危害等級,作業等級,施工地點、工程案號、工作內容、許可工作項目、作業分級,53,46,44,2,0,1,0,0.9565,7,低
2024-01,桃園,B,B級,中危害,危害等級,管線設備危害物,可燃性氣體、易燃液體、有害性氣體、化學藥劑、酸鹼、熱水蒸氣、空氣、其他,53,46,45,1,0,0,0,0.9783,2,低
2024-01,桃園,B,B級,中危害,檢點與危害告知,簽發前安全檢點,是否安全檢點,53,46,45,1,0,0,0,0.9783,2,低
2024-01,桃園,B,B級,中危害,檢點與危害告知,危害告知,是否危害告知,53,51,49,2,0,1,0,0.9608,7,低
2024-01,桃園,B,B級,中危害,危害排除與隔離,環境危害排除,是否設備管線危害物排除,53,45,44,1,0,0,0,0.9778,2,低
2024-01,桃園,B,B級,中危害,危害排除與隔離,隔離管制,設備管線是否加盲加鎖掛牌,53,52,50,2,1,1,0,0.9615,16,中
2024-01,桃園,B,B級,中危害,環境測定,氣體偵測數值,可燃性氣體%、氧氣%、一氧化碳PPM、硫化氫PPM,53,44,42,2,1,1,0,0.9545,16,中
2024-01,桃園,B,B級,中危害,環境測定,測定基準,可燃性氣體 < 20%LEL；氧氣>= 18%；一氧化碳<50 PPM；硫化氫<10 PPM,53,45,43,2,1,1,0,0.9556,16,中
2024-01,桃園,B,B級,中危害,環境測定,測定頻率,上、下午施工前測定；A級或高風險作業需重複或連續測定；每小時/每兩小時紀錄表,53,51,49,2,1,1,0,0.9608,16,中
2024-01,桃園,B,B級,中危害,防火防爆,消防設備,是否有消防設備,53,52,50,2,1,0,0,0.9615,13,低
2024-01,桃園,B,B級,中危害,防火防爆,防爆安全工具,是否使用防爆電氣設備及安全工具,53,49,47,2,1,1,0,0.9592,16,中
2024-01,桃園,B,B級,中危害,高處作業,防墜措施,設標準施工架、安全網、安全母索、安全帶,53,53,51,2,1,0,0,0.9623,13,低
2024-01,桃園,B,B級,中危害,安全保護,個人防護具,是否有防護口罩、防毒面具、SCBA、防護手套、安全眼鏡、耳塞,53,50,48,2,0,1,0,0.96,7,低
2024-01,桃園,B,B級,中危害,警戒巡查,警戒標示,是否有警戒標示,53,47,46,1,0,0,0,0.9787,2,低
2024-01,桃園,B,B級,中危害,警戒巡查,巡查會簽,是否轄區、監造、安衛人員或工地負責人巡查會簽,53,47,46,1,0,0,0,0.9787,2,低
2024-01,桃園,B,B級,中危害,收工回簽,回簽收工確認,是否回簽時確認環境已整理並完成防護措施,53,47,46,1,0,0,0,0.9787,2,低
2024-01,桃園,B,B級,中危害,收工回簽,一般安全規定,是否遵守工安規定,53,50,48,2,0,1,0,0.96,7,低
2024-01,桃園,B,B級,中危害,收工回簽,現場紀錄,是否拍照,53,50,49,1,0,0,0,0.98,2,低
2024-01,桃園,C,C級,低危害,廠區,基本資料,工廠、日期、時間,42,37,36,1,0,0,0,0.973,2,低
2024-01,桃園,C,C級,低危害,許可證,許可資訊,工程作業分級、申請時間、核准工作時間、工作許可證編號,42,37,36,1,0,1,0,0.973,5,低
2024-01,桃園,C,C級,低危害,施工地點,場地關係人,施工部門、轄區部門、監造部門,42,36,35,1,0,0,0,0.9722,2,低
2024-01,桃園,C,C級,低危害,包商,承攬商與人員資格,承攬商、工作人數、車輛車號、工地負責人、安衛人員、特殊作業主管,42,40,39,1,0,1,0,0.975,5,低
2024-01,桃園,C,C級,低危害,危害等級,作業等級,施工地點、工程案號、工作內容、許可工作項目、作業分級,42,41,40,1,0,0,0,0.9756,2,低
2024-01,桃園,C,C級,低危害,危害等級,管線設備危害物,可燃性氣體、易燃液體、有害性氣體、化學藥劑、酸鹼、熱水蒸氣、空氣、其他,42,36,35,1,0,0,0,0.9722,2,低
2024-01,桃園,C,C級,低危害,檢點與危害告知,簽發前安全檢點,是否安全檢點,42,38,37,1,0,0,0,0.9737,2,低
2024-01,桃園,C,C級,低危害,檢點與危害告知,危害告知,是否危害告知,42,40,39,1,0,0,0,0.975,2,低
2024-01,桃園,C,C級,低危害,危害排除與隔離,環境危害排除,是否設備管線危害物排除,42,36,35,1,0,0,0,0.9722,2,低
2024-01,桃園,C,C級,低危害,危害排除與隔離,隔離管制,設備管線是否加盲加鎖掛牌,42,36,35,1,0,0,0,0.9722,2,低
2024-01,桃園,C,C級,低危害,環境測定,氣體偵測數值,可燃性氣體%、氧氣%、一氧化碳PPM、硫化氫PPM,42,42,41,1,0,0,0,0.9762,2,低
2024-01,桃園,C,C級,低危害,環境測定,測定基準,可燃性氣體 < 20%LEL；氧氣>= 18%；一氧化碳<50 PPM；硫化氫<10 PPM,42,36,35,1,0,0,0,0.9722,2,低
2024-01,桃園,C,C級,低危害,環境測定,測定頻率,上、下午施工前測定；A級或高風險作業需重複或連續測定；每小時/每兩小時紀錄表,42,41,40,1,0,1,0,0.9756,5,低
2024-01,桃園,C,C級,低危害,防火防爆,消防設備,是否有消防設備,42,39,38,1,0,0,0,0.9744,2,低
2024-01,桃園,C,C級,低危害,防火防爆,防爆安全工具,是否使用防爆電氣設備及安全工具,42,34,33,1,0,0,0,0.9706,2,低
2024-01,桃園,C,C級,低危害,高處作業,防墜措施,設標準施工架、安全網、安全母索、安全帶,42,41,40,1,0,0,0,0.9756,2,低
2024-01,桃園,C,C級,低危害,安全保護,個人防護具,是否有防護口罩、防毒面具、SCBA、防護手套、安全眼鏡、耳塞,42,37,36,1,0,0,0,0.973,2,低
2024-01,桃園,C,C級,低危害,警戒巡查,警戒標示,是否有警戒標示,42,40,39,1,0,0,0,0.975,2,低
2024-01,桃園,C,C級,低危害,警戒巡查,巡查會簽,是否轄區、監造、安衛人員或工地負責人巡查會簽,42,40,39,1,0,0,0,0.975,2,低
