month,plant,hazard_level,hazard_name,hazard_label,measurement_count,combustible_gas_max_pct_lel,oxygen_min_pct,co_max_ppm,h2s_max_ppm,combustible_ok,oxygen_ok,co_ok,h2s_ok,standard_ok,alert_count
2024-01,桃園,A,A級,高危害,92,18.1,18.1,43.6,10.7,True,True,True,False,False,1
2024-01,桃園,B,B級,中危害,106,14.0,20.0,46.0,5.2,True,True,True,True,True,0
2024-01,桃園,C,C級,低危害,84,10.0,20.7,11.3,1.9,True,True,True,True,True,0
2024-02,桃園,A,A級,高危害,96,15.9,20.5,10.3,0.7,True,True,True,True,True,0
2024-02,桃園,B,B級,中危害,108,12.4,20.3,18.0,1.6,True,True,True,True,True,0
2024-02,桃園,C,C級,低危害,76,9.1,20.6,4.6,2.0,True,True,True,True,True,0
2024-03,桃園,A,A級,高危害,108,20.2,19.2,9.2,4.1,False,True,True,True,False,1
2024-03,桃園,B,B級,中危害,108,17.1,20.0,12.7,2.9,True,True,True,True,True,0
2024-03,桃園,C,C級,低危害,76,15.3,20.6,12.2,2.1,True,True,True,True,True,0
2024-04,桃園,A,A級,高危害,84,15.6,20.3,5.4,1.5,True,True,True,True,True,0
2024-04,桃園,B,B級,中危害,100,12.5,20.4,21.5,5.1,True,True,True,True,True,0
2024-04,桃園,C,C級,低危害,84,10.2,20.8,6.4,1.6,True,True,True,True,True,0
2024-05,桃園,A,A級,高危害,80,13.2,20.5,19.8,4.1,True,True,True,True,True,0
2024-05,桃園,B,B級,中危害,104,11.2,19.6,15.1,1.7,True,True,True,True,True,0
2024-05,桃園,C,C級,低危害,70,8.8,20.3,12.1,3.0,True,True,True,True,True,0
2024-06,桃園,A,A級,高危害,76,20.0,20.5,22.3,2.6,False,True,True,True,False,1
2024-06,桃園,B,B級,中危害,100,15.9,20.0,7.2,2.7,True,True,True,True,True,0
2024-06,桃園,C,C級,低危害,76,8.9,20.2,8.8,1.1,True,True,True,True,True,0
2024-07,桃園,A,A級,高危害,100,15.4,19.6,13.6,1.4,True,True,True,True,True,0
2024-07,桃園,B,B級,中危害,88,13.6,20.5,19.4,1.6,True,True,True,True,True,0
2024-07,桃園,C,C級,低危害,72,13.5,20.5,6.3,3.8,True,True,True,True,True,0
2024-08,桃園,A,A級,高危害,84,19.7,19.2,8.7,2.9,True,True,True,True,True,0
2024-08,桃園,B,B級,中危害,82,13.1,19.6,11.0,3.2,True,True,True,True,True,0
2024-08,桃園,C,C級,低危害,74,15.3,20.6,9.6,1.7,True,True,True,True,True,0
