date,period,plant,contractor,worksite,key_equipment_count,periodic_inspection_count,maintenance_count,contractor_people,contractor_entries,hazard_a_count,hazard_b_count,hazard_c_count,work_permit_count,crane_count,aerial_work_platform_count,welding_machine_count,zero_accident_hours
2026-06-07,2026-06,桃園,中鼎工程,煉製一課,186,96,24,218,47,12,26,33,154,7,5,18,438000
2026-06-09,2026-06,台中,漢翔維修,儲運工場,142,74,19,166,31,8,21,28,119,5,4,12,391000
2026-06-12,2026-06,嘉義,聯興機電,公用設施,121,68,17,142,25,7,18,22,103,4,3,11,326000
2026-06-15,2026-06,高雄大林,大林營造,裂解工場,238,132,38,326,62,20,39,47,214,12,9,24,512000
2026-06-18,2026-06,高雄林園,南區環工,聚合工場,221,118,34,284,55,18,34,42,198,10,8,21,487000
2026-07-06,2026-07,桃園,中鼎工程,儲槽區,189,102,21,236,52,14,24,35,161,8,6,16,463000
2026-07-08,2026-07,台中,漢翔維修,裝卸站,145,79,22,171,33,9,23,31,126,5,5,13,416000
2026-07-11,2026-07,嘉義,聯興機電,鍋爐區,123,72,16,151,27,6,19,24,108,4,4,10,351000
2026-07-16,2026-07,高雄大林,大林營造,管線廊道,241,137,41,348,68,23,42,49,228,13,10,26,537000
2026-07-20,2026-07,高雄林園,南區環工,廢水處理,224,121,37,296,58,19,36,43,205,11,9,22,512000
2026-08-05,2026-08,桃園,中鼎工程,加氫工場,191,108,20,244,49,13,28,34,168,7,7,17,488000
2026-08-07,2026-08,台中,漢翔維修,維修工場,146,81,18,182,35,7,24,29,131,6,4,14,441000
2026-08-12,2026-08,嘉義,聯興機電,空壓站,124,76,15,148,24,5,17,23,101,3,3,9,376000
2026-08-17,2026-08,高雄大林,大林營造,裂解二課,244,144,36,337,64,21,40,51,221,12,11,25,562000
2026-08-22,2026-08,高雄林園,南區環工,聚合二課,226,126,32,307,60,17,35,44,209,10,9,23,537000
