"month","plant","module_id","module_name","check_item","permit_count","check_count","pass_count","defect_count","critical_defect_count","open_defect_count","overdue_defect_count","pass_rate","risk_score","risk_level"
"2024-01","桃園","permit","許可基本資料","工作內容與地點完整","96","97","95","2","0","1","0","0.9794","7","低"
"2024-01","桃園","permit","許可基本資料","作業分級正確","96","94","92","2","0","1","0","0.9787","7","低"
"2024-01","桃園","permit","許可基本資料","核准工作時間明確","96","84","82","2","0","1","0","0.9762","7","低"
"2024-01","桃園","permit","許可基本資料","回簽資料完整","96","86","84","2","0","1","0","0.9767","7","低"
"2024-01","桃園","workType","作業分級與工作項目","動火/非動火判定正確","96","88","85","3","0","1","0","0.9659","9","低"
"2024-01","桃園","workType","作業分級與工作項目","A/B/C級作業判定正確","96","84","81","3","0","1","0","0.9643","9","低"
"2024-01","桃園","workType","作業分級與工作項目","附加檢點表適用","96","92","89","3","0","1","0","0.9674","9","低"
"2024-01","桃園","workType","作業分級與工作項目","延時工作經核准","96","93","90","3","0","1","0","0.9677","9","低"
"2024-01","桃園","contractor","承攬商與人員資格","施工人員名冊完整","96","85","81","4","1","2","1","0.9529","27","中"
"2024-01","桃園","contractor","承攬商與人員資格","工地負責人到場","96","97","93","4","1","2","1","0.9588","27","中"
"2024-01","桃園","contractor","承攬商與人員資格","安衛人員到場","96","91","87","4","1","1","0","0.956","19","中"
"2024-01","桃園","contractor","承攬商與人員資格","特殊作業主管資格符合","96","87","84","3","1","1","0","0.9655","17","低"
"2024-01","桃園","hazardNotice","危害告知","承攬商已知悉注意事項","96","90","88","2","0","1","0","0.9778","7","低"
"2024-01","桃園","hazardNotice","危害告知","施工人員完成危害告知","96","88","85","3","0","1","0","0.9659","9","低"
"2024-01","桃園","hazardNotice","危害告知","勤前教育紀錄完整","96","87","84","3","0","1","0","0.9655","9","低"
"2024-01","桃園","hazardNotice","危害告知","緊急聯絡資訊明確","96","86","83","3","0","1","0","0.9651","9","低"
"2024-01","桃園","isolation","環境安全隔離","設備管線已釋壓清洗","96","94","89","5","1","2","1","0.9468","29","中"
"2024-01","桃園","isolation","環境安全隔離","進出口已關斷/盲封/掛牌","96","85","81","4","1","2","0","0.9529","22","中"
"2024-01","桃園","isolation","環境安全隔離","電源隔離加鎖掛牌","96","84","80","4","1","1","0","0.9524","19","中"
"2024-01","桃園","isolation","環境安全隔離","暗溝陰井已堵塞密封","96","93","88","5","2","1","0","0.9462","29","中"
